,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800
2009/03/10,11.0,274.11419354838705,97.22709677419354,793.6290322580644,275.4612903225806,,0.0,90.0,285.0838709677419,5.970645161290323,7.183548387096773,7.3906451612903235,-4.178064516129033,6.3667741935483875,74.69806451612902,105.9016129032258,211.99903225806452,262.8332258064516,270.36774193548393,270.9261290322581,271.3025806451613
2009/03/11,11.0,269.17096774193544,57.03741935483871,794.1645161290323,266.1193548387097,,0.0,90.0,281.4141935483872,-0.507741935483871,0.9438709677419357,1.9261290322580649,-6.9,3.7645161290322577,70.6141935483871,102.69064516129033,205.78645161290316,255.91870967741937,264.36,265.06548387096774,265.68548387096774
2009/03/12,11.0,265.85354838709674,63.31516129032258,801.9451612903226,263.5806451612903,,0.0,90.0,277.0377419354839,-5.593870967741935,-3.3132258064516127,-0.6496774193548387,-8.07709677419355,2.9890322580645163,71.72709677419356,102.07612903225804,202.02096774193544,251.23548387096773,260.7683870967742,261.65677419354836,262.51096774193553
2009/03/13,11.0,272.77612903225804,55.491290322580646,793.7000000000003,261.4225806451613,,0.0,90.0,283.3232258064516,-2.7422580645161285,-1.255483870967742,0.6216129032258064,-8.303548387096773,3.2732258064516135,70.27516129032259,103.22645161290326,210.79709677419356,263.6890322580645,272.0854838709677,272.58290322580643,272.7161290322581
2009/03/14,11.0,275.4003225806452,28.637096774193548,793.6709677419357,264.6645161290323,,0.0,90.0,284.50290322580645,-4.565806451612903,-2.423225806451613,-0.22161290322580646,-8.890645161290323,3.000322580645161,69.44,102.64774193548386,210.56870967741932,263.83516129032256,273.15741935483874,273.71645161290326,274.258064516129
2009/03/15,11.0,276.86838709677414,44.73483870967742,793.5999999999997,265.1290322580645,,0.0,90.0,286.5587096774194,-2.5980645161290323,-0.4435483870967742,1.2480645161290325,-8.065806451612904,3.5629032258064512,69.7174193548387,102.70032258064515,211.43322580645156,264.9767741935484,274.30516129032253,274.9429032258065,275.55612903225807
2009/03/16,11.0,280.33612903225804,43.645806451612906,793.5032258064516,267.7612903225806,,0.0,90.0,288.89774193548385,-6.936451612903225,-4.55741935483871,-1.6354838709677422,-9.623870967741935,2.5845161290322576,67.74741935483871,101.8474193548387,213.73838709677418,269.15741935483874,279.17419354838717,279.831935483871,280.1277419354839
2009/03/17,11.0,281.0570967741935,43.7441935483871,793.5,268.12258064516135,,0.0,90.0,289.9819354838709,-1.8554838709677417,-0.11387096774193549,1.278709677419355,-7.91225806451613,2.958387096774193,67.9306451612903,102.0522580645161,214.74161290322584,270.57709677419354,280.66903225806453,281.1190322580645,281.34741935483873
2009/03/18,11.0,278.96,38.35225806451613,793.5032258064516,267.37741935483865,,0.0,90.0,289.5219354838709,1.8529032258064517,2.839354838709677,3.4035483870967744,-6.798064516129034,3.8400000000000003,70.08806451612904,103.96322580645163,214.3854838709678,268.54903225806447,278.8748387096774,279.6029032258064,280.0290322580645
2009/03/19,11.0,283.0503225806452,48.88225806451613,793.4096774193551,271.01290322580644,,0.0,90.0,291.6574193548388,6.4880645161290325,7.324516129032259,6.5683870967741935,-5.387419354838709,4.248064516129032,69.19903225806453,103.75774193548388,215.5558064516129,270.4787096774194,280.93741935483865,281.5196774193548,281.9716129032258
2009/03/20,11.0,277.26129032258063,65.27677419354839,793.5999999999997,277.6870967741936,,0.0,90.0,287.27032258064514,20.186774193548384,21.041935483870965,20.568064516129034,9.351290322580644,21.02193548387097,97.96774193548387,126.70967741935483,219.42516129032254,264.1596774193548,272.1203225806452,272.801935483871,273.29838709677415
2009/03/21,11.0,276.1770967741936,50.759354838709676,793.6032258064513,264.6258064516129,,0.0,90.0,285.13548387096773,5.444838709677418,6.089677419354839,6.200967741935482,-2.0141935483870963,5.094516129032258,69.8883870967742,103.01419354838711,212.21806451612906,265.2141935483871,273.5609677419355,274.0212903225806,274.2861290322581
2009/03/22,11.0,273.00774193548386,72.94967741935483,794.0096774193547,262.88709677419354,,0.0,90.0,282.8880645161291,5.068709677419354,5.333870967741936,5.337096774193548,-1.6822580645161294,5.233225806451612,70.80161290322582,103.13709677419355,210.18096774193552,262.2154838709678,271.0296774193549,271.868064516129,272.1841935483871
2009/03/23,11.0,278.74709677419355,23.029999999999994,793.5483870967739,267.35483870967744,,0.0,90.0,288.6967741935484,11.286129032258065,9.352258064516128,8.323548387096773,7.41,7.925483870967744,68.92806451612904,101.95387096774193,211.18225806451613,265.31612903225806,275.70838709677423,276.4903225806451,277.13612903225805
2009/03/24,11.0,274.35322580645163,32.581935483870964,793.6838709677422,262.958064516129,,0.0,90.0,284.7029032258065,-0.7170967741935484,0.4696774193548388,1.6635483870967738,-5.693870967741936,3.8787096774193555,69.76290322580645,102.6867741935484,212.42870967741936,265.44290322580645,273.48967741935485,273.73870967741937,273.7558064516129
2009/03/25,11.0,278.7993548387097,26.748709677419356,793.5741935483867,268.69032258064516,,0.0,90.0,288.8206451612904,4.952903225806451,5.401612903225806,5.045806451612902,-4.537419354838709,4.886774193548387,69.12516129032258,102.93,213.58838709677426,267.6264516129032,276.76419354838714,277.1932258064516,277.5283870967742
2009/03/26,11.0,272.43,100.00032258064518,793.7000000000003,274.2451612903226,,0.0,90.0,283.47129032258067,21.111290322580647,20.982580645161292,19.177096774193547,7.986129032258066,17.62161290322581,91.1458064516129,120.61612903225806,216.47612903225806,261.5622580645162,268.61645161290323,269.24677419354845,269.6264516129032
2009/03/27,11.0,272.7170967741935,96.7793548387097,795.5903225806455,268.1967741935484,,0.0,90.0,283.1309677419355,10.666129032258066,10.490645161290324,9.215483870967741,-1.7406451612903224,6.147096774193549,72.8958064516129,105.02516129032257,210.57741935483867,260.2238709677419,268.5541935483871,269.2245161290323,269.8422580645162
2009/03/28,11.0,274.2483870967742,73.27225806451614,793.6967741935487,263.23870967741937,,0.0,90.0,284.5412903225806,3.5093548387096773,4.411290322580646,4.723225806451613,-4.2700000000000005,4.82225806451613,70.80000000000001,103.13387096774193,210.62935483870965,263.0758064516129,273.0048387096774,273.69903225806456,274.33870967741933
2009/03/29,11.0,275.4254838709677,29.075161290322587,793.6258064516128,263.5064516129032,,0.0,90.0,285.2199999999999,-0.6570967741935484,0.15903225806451612,1.2074193548387098,-5.958064516129031,3.6845161290322577,69.30516129032259,101.98774193548388,209.8687096774194,262.6203225806452,273.17129032258055,274.0622580645161,274.601935483871
2009/03/30,11.0,278.3758064516129,16.60483870967742,794.1161290322578,270.99032258064517,,0.0,90.0,287.8996774193548,2.2748387096774194,3.078064516129032,3.4170967741935487,-4.167419354838709,5.049354838709677,70.39741935483872,103.33838709677418,210.41516129032257,263.2396774193548,273.64193548387095,274.5251612903226,275.25935483870967
2009/03/31,11.0,275.2477419354839,27.3441935483871,795.5322580645161,265.52580645161294,,0.0,90.0,285.3235483870968,3.1612903225806455,3.568709677419355,3.7751612903225817,-4.108387096774193,4.970322580645161,70.1458064516129,103.07032258064514,210.43645161290328,262.48709677419356,271.4932258064516,272.2925806451613,272.82741935483875
2009/04/01,11.0,276.00935483870967,81.90387096774194,793.6161290322578,271.7096774193548,,0.0,90.0,283.9874193548388,13.551612903225806,13.556129032258063,11.609032258064516,-0.11387096774193546,6.413548387096775,72.04645161290323,103.6167741935484,210.56032258064516,263.06774193548387,272.25,272.76,273.11451612903215
2009/04/02,11.0,276.43354838709683,68.26838709677419,793.5999999999997,275.56774193548387,,0.0,90.0,286.0964516129032,14.178387096774193,14.576451612903226,13.68741935483871,3.4348387096774196,12.038387096774194,81.56129032258063,112.48064516129033,212.8593548387097,262.15645161290314,270.8593548387097,271.64903225806455,272.41354838709674
2009/04/03,11.0,278.05548387096775,23.369032258064514,793.693548387097,273.40967741935475,,0.0,90.0,288.3716129032258,1.6738709677419357,2.0841935483870966,2.8796774193548385,-5.010322580645161,4.376451612903226,69.81032258064516,102.30741935483871,211.08064516129033,264.0403225806451,274.43645161290317,275.28193548387094,275.991935483871
2009/04/04,11.0,275.2148387096774,62.84387096774194,798.0741935483871,263.4129032258065,,0.0,90.0,284.9058064516128,1.6312903225806454,2.496451612903226,3.481612903225807,-4.26516129032258,4.619677419354838,71.22225806451613,103.62967741935485,212.0716129032258,263.84548387096777,273.77612903225804,274.5703225806451,275.1958064516129
2009/04/05,11.0,277.99967741935484,36.93774193548387,793.5999999999997,265.6258064516129,,0.0,90.0,286.60419354838706,1.1293548387096777,1.6345161290322576,2.7977419354838706,-4.951612903225806,4.1732258064516135,69.16,102.36032258064513,212.16903225806453,265.86258064516124,275.79548387096776,276.5506451612904,276.96999999999997
2009/04/06,11.0,279.15999999999997,69.40774193548387,793.5999999999997,266.28064516129035,,0.0,90.0,287.1077419354839,2.850967741935484,3.5880645161290325,4.420322580645162,-4.199354838709677,4.423225806451613,69.14193548387097,102.79161290322583,213.3016129032258,267.7425806451613,277.81290322580645,278.3370967741936,278.6554838709677
2009/04/07,11.0,277.94741935483876,86.92612903225805,793.5999999999997,265.64516129032256,,0.0,90.0,284.57774193548397,10.678064516129032,10.594516129032256,9.086774193548386,-1.9922580645161292,5.458387096774193,70.01677419354839,104.47967741935483,216.11903225806455,269.15645161290325,276.1254838709678,276.253870967742,275.94451612903225
2009/04/08,11.0,280.2596774193549,85.42548387096774,793.5387096774192,272.52580645161294,,0.0,90.0,287.47322580645164,26.383225806451613,24.63935483870968,19.92032258064516,3.042903225806452,8.76774193548387,74.96322580645162,108.00193548387097,216.99935483870962,269.0009677419355,277.2116129032258,277.68,277.92129032258066
2009/04/09,11.0,280.97064516129035,95.91387096774191,793.5,269.2193548387097,,0.0,90.0,289.3935483870968,19.54870967741935,19.2141935483871,16.370322580645162,1.3087096774193554,7.596774193548386,73.90032258064515,107.79096774193549,216.55354838709678,268.85838709677415,278.18612903225807,278.85,279.26967741935493
2009/04/10,11.0,284.3880645161291,42.751290322580644,793.4000000000003,273.3193548387097,,0.0,90.0,293.05064516129033,2.3593548387096774,3.2077419354838708,3.8787096774193546,-5.031935483870969,3.702258064516129,69.04096774193549,103.81387096774193,216.78000000000003,271.08451612903224,281.3809677419355,282.37064516129027,282.9829032258064
2009/04/11,11.0,283.5858064516129,55.09903225806451,793.4161290322584,271.0258064516129,,0.0,90.0,292.2632258064516,10.013225806451612,10.378064516129033,9.831290322580646,-2.4393548387096775,5.581290322580646,71.56516129032259,105.68935483870968,216.79516129032262,270.56967741935483,281.08000000000004,281.7248387096774,282.3222580645161
2009/04/12,11.0,284.55451612903227,40.291612903225804,793.4000000000003,272.0451612903226,,0.0,90.0,294.06129032258065,5.77967741935484,6.710645161290323,6.89516129032258,-3.6306451612903223,4.811935483870968,70.04612903225808,104.27935483870968,216.11967741935484,271.1870967741936,282.248064516129,282.8825806451613,283.57
2009/04/13,11.0,286.12709677419355,33.803870967741936,793.3967741935487,273.2096774193548,,0.0,90.0,294.5067741935484,7.7141935483870965,7.790645161290324,7.1000000000000005,-3.6922580645161283,4.477096774193548,69.38935483870966,103.65064516129033,217.39709677419356,273.27612903225804,284.3016129032258,284.92387096774195,285.34225806451616
2009/04/14,11.0,287.3403225806452,31.850322580645162,793.2999999999997,279.84193548387094,,0.0,90.0,295.60709677419356,15.581290322580644,14.81806451612903,12.161935483870968,-1.1529032258064515,5.959032258064515,71.6441935483871,105.28612903225806,216.84129032258068,271.1925806451613,282.7490322580645,283.56677419354844,284.426129032258
2009/04/15,11.0,283.0245161290323,63.35129032258064,793.490322580645,271.4419354838709,,0.0,90.0,290.2945161290322,10.76290322580645,10.804193548387097,9.676129032258066,-2.129354838709677,5.263548387096773,69.73032258064515,104.24483870967742,217.4477419354839,272.36709677419356,282.17580645161286,282.7035483870969,282.99451612903226
2009/04/16,11.0,285.1164516129032,81.91967741935483,793.4000000000003,272.7903225806452,,0.0,90.0,291.96,24.050967741935484,22.95741935483871,18.94645161290323,2.3725806451612903,7.926129032258064,72.74870967741936,107.03838709677417,218.89935483870968,272.90419354838707,281.9,282.2206451612903,282.5664516129032
