,QC_08,lv1_08,Ground_temperature_08,Ground_temperature_08_1,Temperature_08,Temperature_08_H0,Relative_humidity_08,Sep,QC_20,lv1_20,Ground_temperature_20,Ground_temperature_20_1,Temperature_20,Temperature_20_H0,Relative_humidity_20
2007/05/30,3,31,293.152,293.14566666666667,47,270.59409,36,/,0,31,299.747,299.76433333333335,47,272.78845,37
2007/05/31,0,31,292.22266666666667,292.22,47,267.91992,36,/,0,31,301.33733333333333,301.34499999999997,47,270.91519,44
2007/06/01,0,31,296.15666666666664,296.12199999999996,44,269.48553,44,/,0,31,305.98333333333335,306.01866666666666,47,272.25214,44
2007/06/02,0,31,297.4433333333333,297.4223333333333,47,269.51862,43,/,0,31,304.43100000000004,304.4603333333333,47,274.14066,44
2007/06/03,0,31,299.585,299.567,44,268.52127,44,/,0,31,302.6596666666666,302.6936666666667,47,270.69403,44
2007/06/04,0,31,295.91133333333335,295.8906666666667,47,268.36212,36,/,0,31,306.26800000000003,306.29466666666667,30,274.23468,30
2007/06/05,0,31,298.01533333333333,298.01266666666663,47,270.64822,36,/,0,31,302.3083333333333,302.33366666666666,30,272.51111,30
2007/06/06,0,31,297.7103333333333,297.68100000000004,36,270.41116,36,/,0,31,307.3793333333333,307.406,36,274.59326,36
2007/06/07,0,31,297.5516666666666,297.53999999999996,31,270.95947,31,/,3,31,305.1096666666666,305.1153333333333,47,271.67902,36
2007/06/08,0,31,295.17266666666666,295.155,47,270.70718,44,/,0,31,297.9463333333333,297.9713333333333,47,271.09094,36
2007/06/09,0,31,293.257,293.2443333333334,43,268.96878,36,/,0,31,300.26800000000003,300.293,47,273.03018,36
2007/06/10,0,0,292.633,292.6146666666666,47,269.53394,43,/,0,31,302.5626666666667,302.5913333333333,47,271.88788,36
2007/06/11,0,31,297.46500000000003,297.4413333333333,47,270.28198,44,/,3,31,294.1733333333333,294.178,47,269.89404,43
2007/06/12,2,31,295.6863333333334,295.67533333333336,47,268.32764,43,/,0,31,299.4223333333333,299.44000000000005,47,270.70654,43
2007/06/13,0,31,294.73266666666666,294.71066666666667,47,269.28336,43,/,0,31,306.743,306.77,47,274.58267,43
2007/06/14,0,31,296.96566666666666,296.946,47,270.35645,43,/,0,31,305.14,305.1743333333333,47,275.72949,44
2007/06/15,3,31,297.4093333333333,297.3926666666666,36,271.11353,36,/,2,31,301.2256666666666,301.23699999999997,44,273.15225,36
2007/06/16,3,31,294.5233333333333,294.525,47,272.77628,37,/,0,0,,,47,272.86401,37
2007/06/17,1,0,,,,,,/,1,0,,,,,
2007/06/18,0,0,,,37,275.17398,37,/,0,0,,,47,274.52469,37
2007/06/19,2,0,,,47,271.72403,37,/,0,0,,,47,273.43024,37
2007/06/20,1,0,,,,,,/,0,0,,,37,274.98788,37
2007/06/21,2,0,,,47,272.09604,44,/,2,0,,,44,271.90375,44
2007/06/22,0,0,,,37,268.51794,37,/,0,31,300.537,300.563,47,273.8732,44
2007/06/23,0,31,295.6653333333333,295.65,47,270.09888,44,/,0,31,305.0063333333334,305.0346666666667,47,272.94943,37
2007/06/24,0,31,298.6463333333333,298.62666666666667,47,268.88925,44,/,0,31,304.1836666666667,304.2073333333333,47,273.9415,41
